date,equity,cash,positions,ret1d,strategy,hold_days,max_positions
2016-12-30,165457.6976617119,99377.28822531116,2,-0.002944265038850591,TP_v1,5,5
2017-01-03,165531.3317088862,99377.28822531116,2,0.000445032465789863,TP_v1,5,5
2017-01-04,166106.22346024093,66219.5370836626,3,0.0034730086770871083,TP_v1,5,5
2017-01-05,164158.5529700727,99139.47697475876,2,-0.011725451639290507,TP_v1,5,5
2017-01-06,164825.23195892922,99139.47697475876,2,0.004061189482938987,TP_v1,5,5
2017-01-09,166655.58903029925,99139.47697475876,2,0.011104835404242674,TP_v1,5,5
2017-01-10,166374.40868209096,100031.35071681636,2,-0.0016871942299947484,TP_v1,5,5
2017-01-11,165519.17608242188,132309.71676210576,1,-0.00514040955242856,TP_v1,5,5
2017-01-12,165846.28196754938,132309.71676210576,1,0.001976241622690278,TP_v1,5,5
2017-01-13,165159.99804118945,99148.6378608395,2,-0.004138072425972195,TP_v1,5,5
2017-01-17,162946.94167032055,132766.9800538469,1,-0.013399469587768942,TP_v1,5,5
2017-01-18,164013.3965450506,100140.71167055104,2,0.006544798348457226,TP_v1,5,5
2017-01-19,163897.43361407594,67261.78245196448,3,-0.000707033287630332,TP_v1,5,5
2017-01-20,162703.5983385268,3.637978807091713e-12,5,-0.00728403886030482,TP_v1,5,5
2017-01-23,162900.35817336652,3.637978807091713e-12,5,0.0012093145870710753,TP_v1,5,5
2017-01-24,167193.74155201158,1598.168468843789,5,0.026355886670769824,TP_v1,5,5
2017-01-25,169032.57601931767,34568.53908791131,4,0.010998225473254575,TP_v1,5,5
2017-01-26,170086.90522765627,135214.2762762067,1,0.006237432056990677,TP_v1,5,5
2017-01-27,169793.79220335203,135214.2762762067,1,-0.0017233132904141968,TP_v1,5,5
2017-01-30,169373.92433394122,169373.92433394122,0,-0.002472810483600929,TP_v1,5,5
