signal_breakout_date,retest_date,entry_date,exit_date,year,entry_open,exit_close,mae,mfe,net_ret,ticker
2025-02-03,2025-02-04,2025-02-05,2025-03-05,2025,390.82000732421875,348.260009765625,-0.12491685791233909,0.019267178338313817,-0.10899600030775547,ACN
2025-02-04,2025-02-10,2025-02-11,2025-03-11,2025,385.0,327.7900085449219,-0.15441561612215904,0.018233737697848973,-0.14869355216632407,ACN
2017-06-21,2017-06-23,2017-06-26,2017-07-24,2017,146.05999755859375,149.52999877929688,-0.05306038702959026,0.029713791663932954,0.023480293524288376,ADBE
2017-10-20,2017-10-25,2017-10-26,2017-11-22,2017,172.05999755859375,182.89999389648438,-0.00023243802569039573,0.07840291575367564,0.06276148588515151,ADBE
2017-10-27,2017-10-30,2017-10-31,2017-11-28,2017,176.16000366210938,185.39999389648438,-0.009309714779491607,0.057391010446068424,0.05221926463356974,ADBE
2018-02-15,2018-02-16,2018-02-20,2018-03-19,2018,200.4600067138672,222.17999267578125,-0.0063853835938108006,0.14177390610143736,0.10814038924518066,ADBE
2018-02-23,2018-03-02,2018-03-05,2018-04-02,2018,208.75,212.27999877929688,-0.008766475837387766,0.10821555131923644,0.01671695540210205,ADBE
2018-02-26,2018-03-02,2018-03-05,2018-04-02,2018,208.75,212.27999877929688,-0.008766475837387766,0.10821555131923644,0.01671695540210205,ADBE
2018-03-16,2018-03-19,2018-03-20,2018-04-17,2018,223.19000244140625,231.16000366210938,-0.07155338969493363,0.04041401574350956,0.035527087200246665,ADBE
2018-03-20,2018-03-26,2018-03-27,2018-04-24,2018,229.89999389648438,217.88999938964844,-0.09865155840757978,0.014223594429207731,-0.052409511250514185,ADBE
2018-04-17,2018-04-18,2018-04-19,2018-05-16,2018,230.11000061035156,237.38999938964844,-0.07326930844218649,0.05749422316477926,0.031460473471928596,ADBE
2018-05-09,2018-05-15,2018-05-16,2018-06-13,2018,236.58999633789062,256.1300048828125,-0.00743900644185469,0.09007142266556123,0.08241413654000862,ADBE
2018-05-10,2018-05-11,2018-05-14,2018-06-11,2018,242.0,251.0,-0.037190082644628086,0.05256198851530214,0.03702173374101303,ADBE
2018-05-23,2018-05-24,2018-05-25,2018-06-22,2018,245.0,243.6300048828125,-0.01885712292729591,0.05677552515146678,-0.005754612346696275,ADBE
2018-05-31,2018-06-07,2018-06-08,2018-07-06,2018,246.86000061035156,248.19000244140625,-0.044519182799934054,0.04881310468267297,0.005225218032507417,ADBE
2018-06-01,2018-06-08,2018-06-11,2018-07-09,2018,251.75999450683594,249.77000427246094,-0.06311566466616281,0.028400100537336437,-0.00806255571794412,ADBE
2018-07-18,2018-07-23,2018-07-24,2018-08-20,2018,261.0400085449219,249.75999450683594,-0.0802175979005254,0.010687932638738129,-0.04336173166154644,ADBE
2018-09-14,2018-09-18,2018-09-19,2018-10-16,2018,271.1400146484375,260.6700134277344,-0.13432179486660012,0.02172303537895859,-0.038759406449838996,ADBE
2019-03-13,2019-03-14,2019-03-15,2019-04-11,2019,258.0299987792969,271.8999938964844,-0.02325311021348353,0.06258959800367281,0.05359424600895246,ADBE
2019-04-01,2019-04-02,2019-04-03,2019-05-01,2019,273.7099914550781,283.3500061035156,-0.03649844925743084,0.06576303592101129,0.035071110028559005,ADBE
2019-06-20,2019-06-27,2019-06-28,2019-07-26,2019,294.5,311.2699890136719,-0.008658702183255484,0.06319180085420206,0.05680425442642911,ADBE
2019-07-03,2019-07-05,2019-07-08,2019-08-02,2019,302.760009765625,293.7099914550781,-0.04406128916503038,0.03418541171916889,-0.030021857511607908,ADBE
2020-05-20,2020-05-22,2020-05-26,2020-06-22,2020,391.0,438.6400146484375,-0.07560101677389708,0.12263430231977313,0.12173294114990929,ADBE
2020-05-22,2020-05-29,2020-06-01,2020-06-26,2020,387.0799865722656,426.9200134277344,-0.013123867801202449,0.15260413706041787,0.10281588281078058,ADBE
2020-05-29,2020-06-01,2020-06-02,2020-06-29,2020,389.9200134277344,424.20001220703125,-0.02031189258050803,0.14420901347032644,0.08780837462232483,ADBE
2020-06-01,2020-06-02,2020-06-03,2020-06-30,2020,390.82000732421875,435.30999755859375,-0.022567952405010305,0.14157408918516468,0.11372937621890333,ADBE
2020-06-02,2020-06-03,2020-06-04,2020-07-01,2020,389.5,439.80999755859375,-0.019255455712451908,0.1454428598112565,0.12905626812126147,ADBE
2020-06-05,2020-06-08,2020-06-09,2020-07-07,2020,397.0299987792969,449.3599853515625,-0.02433066441278975,0.15719216143363046,0.13169622650302903,ADBE
2020-06-10,2020-06-12,2020-06-15,2020-07-13,2020,398.79998779296875,442.4700012207031,-0.004513510150615074,0.1800651949765677,0.10939776030077808,ADBE
2020-06-22,2020-06-24,2020-06-25,2020-07-23,2020,430.010009765625,431.739990234375,-0.03251089665086604,0.09441635000093673,0.003929912867409291,ADBE
2020-07-08,2020-07-09,2020-07-10,2020-08-06,2020,460.8299865722656,464.1099853515625,-0.09665164881877575,0.02122257462462951,0.0070304846993607395,ADBE
2020-07-09,2020-07-10,2020-07-13,2020-08-07,2020,469.7699890136719,449.57000732421875,-0.11384290550581244,0.00178810132093421,-0.04308304170539501,ADBE
2021-04-15,2021-04-19,2021-04-20,2021-05-17,2021,515.2899780273438,482.739990234375,-0.0908031982427977,0.010013845406893651,-0.06324346351244026,ADBE
2021-06-14,2021-06-16,2021-06-17,2021-07-15,2021,539.989990234375,606.1699829101562,-0.0022963207777921824,0.13205799894113346,0.12247920199971718,ADBE
2021-11-04,2021-11-09,2021-11-10,2021-12-08,2021,663.2000122070312,653.0999755859375,-0.08881185664947733,0.05479488110891095,-0.015289099295044184,ADBE
2021-11-19,2021-11-29,2021-11-30,2021-12-28,2021,687.219970703125,569.3599853515625,-0.2170629336594131,0.011160973592581946,-0.17155577436937686,ADBE
2023-05-30,2023-05-31,2023-06-01,2023-06-29,2023,412.2900085449219,483.7699890136719,0.0,0.2581919995227211,0.17326763597339778,ADBE
2023-05-31,2023-06-01,2023-06-02,2023-06-30,2023,432.0,488.989990234375,-0.03300928186487273,0.20078701443142366,0.13182257820095145,ADBE
2023-06-01,2023-06-07,2023-06-08,2023-07-07,2023,424.1499938964844,485.2699890136719,-0.0013438814863164783,0.22301072191215376,0.14399885893883768,ADBE
2023-06-02,2023-06-08,2023-06-09,2023-07-10,2023,456.9100036621094,496.3500061035156,-0.00836052459697012,0.13532202419886108,0.0862276544013989,ADBE
2023-06-13,2023-06-14,2023-06-15,2023-07-14,2023,475.4700012207031,514.8300170898438,-0.006625010806985077,0.10162571073377036,0.08269367550988704,ADBE
2023-06-14,2023-06-15,2023-06-16,2023-07-17,2023,518.22998046875,522.0,-0.08858995981476159,0.010728822662024795,0.0071973365592339356,ADBE
2023-06-15,2023-06-23,2023-06-26,2023-07-24,2023,483.010009765625,523.8599853515625,-0.016583527470811155,0.11591890251206904,0.0844874537003184,ADBE
