signal_date,entry_date,strategy,ticker,side,shares,entry_fill_est,planned_exit_date
2019-08-23,2019-08-26,TP_v2,AXP,BUY,8.004791270226101e-06,118.35000183105468,2019-09-24
2019-09-09,2019-09-10,TP_v2,INTU,BUY,0.0014480202332484452,273.81998779296873,2019-10-08
2019-09-09,2019-09-10,MR_1A,AMT,BUY,0.0011861397930872206,222.8500018310547,2019-09-24
2019-09-10,2019-09-11,TP_v2,SBUX,BUY,0.003099023062611965,90.20000030517578,2019-10-09
2019-09-10,2019-09-11,TP_v2,MRK,BUY,0.003583695876867336,78.13068725585937,2019-10-09
2019-09-10,2019-09-11,TP_v2,AMGN,BUY,0.001202407120816608,197.1500048828125,2019-10-09
2019-09-11,2019-09-12,TP_v2,MA,BUY,0.0011654043817427597,273.4100146484375,2019-10-10
2019-09-11,2019-09-12,MR_1A,MA,BUY,0.0007769362544951731,273.4100146484375,2019-09-26
2019-09-16,2019-09-17,MR_1A,MO,BUY,0.023785086033934484,41.52,2019-10-01
2019-09-19,2019-09-20,MR_1A,FDX,BUY,1.5522888711063843e-18,153.38000061035157,2019-10-04
2019-09-24,2019-09-25,TP_v2,AMD,BUY,0.0008094188278421506,29.499999542236328,2019-10-23
2019-09-24,2019-09-25,TP_v2,NVDA,BUY,0.006816768379867179,4.332749862670898,2019-10-23
2019-09-24,2019-09-25,TP_v2,QCOM,BUY,0.0004370948849004882,75.04999877929687,2019-10-23
2019-09-24,2019-09-25,TP_v2,ADBE,BUY,0.0001260536049447334,271.91999389648436,2019-10-23
2019-09-24,2019-09-25,TP_v2,INTC,BUY,0.0008097708796873659,49.77,2019-10-23
2019-09-24,2019-09-25,MR_1A,NFLX,BUY,0.001990480454403053,25.590999145507812,2019-10-09
2019-09-24,2019-09-25,MR_1A,TSLA,BUY,0.0037529304196896405,14.990666885375976,2019-10-09
2019-09-25,2019-09-26,TP_v2,TMO,BUY,9.777221730251911e-20,283.8799853515625,2019-10-24
2019-09-26,2019-09-27,TP_v2,META,BUY,0.000667139631242158,180.51000549316407,2019-10-25
2019-09-26,2019-09-27,TP_v2,NOW,BUY,0.0017827612576633773,51.80400039672852,2019-10-25
